date,finra_D,finra_CC,finra_CM,vix_index,sp500_index,m2_money_supply,federal_funds_rate,market_cap
2014-09-01,503901,161621,183243.0,12.09000015258789,2003.3699951171875,11461.6,0.07,801347.998046875
2014-08-01,501000,155245,180820.0,16.950000762939453,1930.6700439453125,11437.5,0.08,772268.017578125
2014-07-01,498671,155931,177981.0,11.569999694824219,1960.22998046875,11382.8,0.09,784091.9921875
2014-06-01,502270,160293,184723.0,11.399999618530273,1923.5699462890625,11327.6,0.08,769427.978515625
2014-05-01,475362,150474,188551.0,13.40999984741211,1883.949951171875,11263.1,0.09,753579.98046875
2014-04-01,475195,149801,194679.0,13.880000114440918,1872.3399658203125,11218.2,0.06,748935.986328125
2014-03-01,487932,156083,194461.0,14.0,1859.449951171875,11182.3,0.06,743779.98046875
2014-02-01,502093,154049,190312.0,18.40999984741211,1782.5899658203125,11116.6,0.07,713035.986328125
2014-01-01,487549,151878,195863.0,13.720000267028809,1848.3599853515625,11046.9,0.07,739343.994140625
2013-12-01,478502,157000,197521.0,13.699999809265137,1805.81005859375,10981.9,0.07,722324.0234375
2013-11-01,456378,150214,199153.0,13.75,1756.5400390625,10973.2,0.07,702616.015625
2013-10-01,445022,151494,199889.0,16.600000381469727,1681.550048828125,10848.9,0.06,672620.01953125
2013-09-01,432852,149895,197780.0,17.010000228881836,1632.969970703125,10788.5,0.07,653187.98828125
2013-08-01,414442,143808,195181.0,13.449999809265137,1685.72998046875,10730.5,0.09,674291.9921875
2013-07-01,412101,144495,194790.0,16.860000610351562,1606.280029296875,10691.3,0.07,642512.01171875
2013-06-01,407681,150093,200308.0,16.299999237060547,1630.739990234375,10634.2,0.09,652295.99609375
2013-05-01,401606,146765,199756.0,13.520000457763672,1597.5699462890625,10600.0,0.14,639027.978515625
2013-04-01,408677,140706,191719.0,12.699999809265137,1569.18994140625,10572.6,0.09,627675.9765625
2013-03-01,403933,144530,197887.0,15.510000228881836,1514.6800537109375,10516.4,0.14,605872.021484375
2013-02-01,390351,142123,208682.0,14.279999732971191,1498.1099853515625,10497.4,0.15,599243.994140625
2013-01-01,388123,142856,199709.0,18.020000457763672,1426.18994140625,10474.1,0.09,570475.9765625
